lap_t,speed_kmh,s_m
-2.040,83.0,0.0
-2.000,83.0,0.9
-1.960,82.0,1.8
-1.920,82.0,2.8
-1.880,81.0,3.7
-1.840,81.0,4.6
-1.800,81.0,5.5
-1.760,81.0,6.4
-1.720,81.0,7.3
-1.680,80.0,8.2
-1.640,80.0,9.0
-1.600,80.0,9.9
-1.560,81.0,10.8
-1.520,81.0,11.7
-1.480,81.0,12.6
-1.440,81.0,13.5
-1.400,81.0,14.4
-1.360,83.0,15.3
-1.320,83.0,16.3
-1.280,84.0,17.2
-1.240,84.0,18.1
-1.200,84.0,19.0
-1.160,85.0,20.0
-1.120,85.0,20.9
-1.080,86.0,21.9
-1.040,86.0,22.8
-1.000,86.0,23.8
-0.960,88.0,24.8
-0.920,88.0,25.7
-0.880,87.0,26.7
-0.840,87.0,27.7
-0.800,87.0,28.6
-0.760,89.0,29.6
-0.720,89.0,30.6
-0.680,91.0,31.6
-0.640,91.0,32.6
-0.600,91.0,33.6
-0.560,92.0,34.6
-0.520,92.0,35.7
-0.480,93.0,36.7
-0.440,93.0,37.7
-0.400,93.0,38.8
-0.360,95.0,39.8
-0.320,95.0,40.9
-0.280,96.0,41.9
-0.240,96.0,43.0
-0.200,96.0,44.1
-0.160,98.0,45.1
-0.120,98.0,46.2
-0.080,100.0,47.3
-0.040,100.0,48.4
0.000,100.0,49.5
0.040,102.0,50.7
0.080,102.0,51.8
0.120,103.0,52.9
0.160,103.0,54.1
0.200,103.0,55.2
0.240,105.0,56.4
0.280,105.0,57.6
0.320,107.0,58.7
0.360,107.0,59.9
0.400,107.0,61.1
0.440,110.0,62.3
0.480,110.0,63.5
0.520,112.0,64.8
0.560,112.0,66.0
0.600,112.0,67.3
0.640,115.0,68.5
0.680,115.0,69.8
0.720,119.0,71.1
0.760,119.0,72.4
0.800,119.0,73.7
0.840,122.0,75.1
0.880,122.0,76.4
0.920,126.0,77.8
0.960,126.0,79.2
1.000,126.0,80.6
1.040,129.0,82.0
1.080,129.0,83.5
1.120,133.0,84.9
1.160,133.0,86.4
1.200,133.0,87.9
1.240,136.0,89.4
1.280,136.0,90.9
1.320,140.0,92.4
1.360,140.0,94.0
1.400,140.0,95.5
1.440,143.0,97.1
1.480,143.0,98.7
1.520,146.0,100.3
1.560,146.0,101.9
1.600,146.0,103.5
1.640,150.0,105.2
1.680,150.0,106.8
1.720,153.0,108.5
1.760,153.0,110.2
1.800,153.0,111.9
1.840,156.0,113.6
1.880,156.0,115.4
1.920,159.0,117.1
1.960,159.0,118.9
2.000,159.0,120.7
2.040,161.0,122.4
2.080,161.0,124.2
2.120,162.0,126.0
2.160,162.0,127.8
2.200,162.0,129.6
2.240,163.0,131.4
2.280,163.0,133.2
2.320,164.0,135.1
2.360,164.0,136.9
2.400,164.0,138.7
2.440,164.0,140.5
2.480,164.0,142.3
2.520,162.0,144.2
2.560,162.0,146.0
2.600,162.0,147.8
2.640,160.0,149.5
2.680,160.0,151.3
2.720,158.0,153.1
2.760,158.0,154.8
2.800,158.0,156.6
2.840,155.0,158.3
2.880,155.0,160.1
2.920,154.0,161.8
2.960,154.0,163.5
3.000,154.0,165.2
3.040,152.0,166.9
3.080,152.0,168.6
3.120,150.0,170.3
3.160,150.0,171.9
3.200,150.0,173.6
3.240,148.0,175.3
3.280,148.0,176.9
3.320,147.0,178.5
3.360,147.0,180.2
3.400,147.0,181.8
3.440,144.0,183.4
3.480,144.0,185.0
3.520,142.0,186.6
3.560,142.0,188.2
3.600,142.0,189.8
3.640,140.0,191.3
3.680,140.0,192.9
3.720,138.0,194.4
3.760,138.0,196.0
3.800,138.0,197.5
3.840,135.0,199.0
3.880,135.0,200.5
3.920,133.0,202.0
3.960,133.0,203.5
4.000,133.0,205.0
4.040,130.0,206.4
4.080,130.0,207.9
4.120,128.0,209.3
4.160,128.0,210.7
4.200,128.0,212.1
4.240,125.0,213.6
4.280,125.0,214.9
4.320,122.0,216.3
4.360,122.0,217.7
4.400,122.0,219.0
4.440,120.0,220.4
4.480,120.0,221.7
4.520,117.0,223.0
4.560,117.0,224.3
4.600,117.0,225.6
4.640,114.0,226.9
4.680,114.0,228.2
4.720,111.0,229.4
4.760,111.0,230.7
4.800,111.0,231.9
4.840,108.0,233.1
4.880,108.0,234.3
4.920,106.0,235.5
4.960,106.0,236.7
5.000,106.0,237.8
5.040,103.0,239.0
5.080,103.0,240.2
5.120,101.0,241.3
5.160,101.0,242.4
5.200,101.0,243.5
5.240,99.0,244.6
5.280,99.0,245.7
5.320,97.0,246.8
5.360,97.0,247.9
5.400,97.0,249.0
5.440,95.0,250.1
5.480,95.0,251.1
5.520,94.0,252.2
5.560,94.0,253.2
5.600,94.0,254.2
5.640,92.0,255.3
5.680,92.0,256.3
5.720,90.0,257.3
5.760,90.0,258.3
5.800,90.0,259.3
5.840,88.0,260.3
5.880,88.0,261.3
5.920,87.0,262.3
5.960,87.0,263.2
6.000,87.0,264.2
6.040,86.0,265.1
6.080,86.0,266.1
6.120,85.0,267.1
6.160,85.0,268.0
6.200,85.0,268.9
6.240,85.0,269.9
6.280,85.0,270.8
6.320,84.0,271.8
6.360,84.0,272.7
6.400,84.0,273.6
6.440,83.0,274.6
6.480,83.0,275.5
6.520,82.0,276.4
6.560,82.0,277.3
6.600,82.0,278.2
6.640,82.0,279.1
6.680,82.0,280.0
6.720,81.0,281.0
6.760,81.0,281.9
6.800,81.0,282.8
6.840,81.0,283.7
6.880,81.0,284.6
6.920,81.0,285.5
6.960,81.0,286.4
7.000,81.0,287.3
7.040,80.0,288.1
7.080,80.0,289.0
7.120,80.0,289.9
7.160,80.0,290.8
7.200,80.0,291.7
7.240,81.0,292.6
7.280,81.0,293.5
7.320,81.0,294.4
7.360,81.0,295.3
7.400,81.0,296.2
7.440,82.0,297.1
7.480,82.0,298.0
7.520,83.0,298.9
7.560,83.0,299.9
7.600,83.0,300.8
7.640,85.0,301.7
7.680,85.0,302.7
7.720,86.0,303.6
7.760,86.0,304.6
7.800,86.0,305.5
7.840,87.0,306.5
7.880,87.0,307.4
7.920,88.0,308.4
7.960,88.0,309.4
8.000,88.0,310.4
8.040,89.0,311.4
8.080,89.0,312.3
8.120,91.0,313.3
8.160,91.0,314.4
8.200,91.0,315.4
8.240,92.0,316.4
8.280,92.0,317.4
8.320,93.0,318.4
8.360,93.0,319.5
8.400,93.0,320.5
8.440,94.0,321.5
8.480,94.0,322.6
8.520,96.0,323.6
8.560,96.0,324.7
8.600,96.0,325.8
8.640,98.0,326.8
8.680,98.0,327.9
8.720,100.0,329.0
8.760,100.0,330.1
8.800,100.0,331.3
8.840,102.0,332.4
8.880,102.0,333.5
8.920,104.0,334.7
8.960,104.0,335.8
9.000,104.0,337.0
9.040,106.0,338.1
9.080,106.0,339.3
9.120,108.0,340.5
9.160,108.0,341.7
9.200,108.0,342.9
9.240,111.0,344.1
9.280,111.0,345.4
9.320,113.0,346.6
9.360,113.0,347.9
9.400,113.0,349.1
9.440,116.0,350.4
9.480,116.0,351.7
9.520,119.0,353.0
9.560,119.0,354.3
9.600,119.0,355.6
9.640,122.0,357.0
9.680,122.0,358.3
9.720,125.0,359.7
9.760,125.0,361.1
9.800,125.0,362.5
9.840,128.0,363.9
9.880,128.0,365.3
9.920,131.0,366.7
9.960,131.0,368.2
10.000,131.0,369.6
10.040,134.0,371.1
10.080,134.0,372.6
10.120,137.0,374.1
10.160,137.0,375.6
10.200,137.0,377.2
10.240,141.0,378.7
10.280,141.0,380.3
10.320,145.0,381.9
10.360,145.0,383.5
10.400,145.0,385.1
10.440,148.0,386.7
10.480,148.0,388.3
10.520,152.0,390.0
10.560,152.0,391.7
10.600,152.0,393.4
10.640,156.0,395.1
10.680,156.0,396.8
10.720,159.0,398.6
10.760,159.0,400.4
10.800,159.0,402.1
10.840,161.0,403.9
10.880,161.0,405.7
10.920,163.0,407.5
10.960,163.0,409.3
11.000,163.0,411.1
11.040,164.0,412.9
11.080,164.0,414.7
11.120,166.0,416.6
11.160,166.0,418.4
11.200,166.0,420.3
11.240,167.0,422.1
11.280,167.0,424.0
11.320,169.0,425.8
11.360,169.0,427.7
11.400,169.0,429.6
11.440,170.0,431.5
11.480,170.0,433.4
11.520,172.0,435.3
11.560,172.0,437.2
11.600,172.0,439.1
11.640,173.0,441.0
11.680,173.0,442.9
11.720,174.0,444.9
11.760,174.0,446.8
11.800,174.0,448.7
11.840,175.0,450.7
11.880,175.0,452.6
11.920,176.0,454.6
11.960,176.0,456.5
12.000,176.0,458.5
12.040,177.0,460.4
12.080,177.0,462.4
12.120,178.0,464.4
12.160,178.0,466.3
12.200,178.0,468.3
12.240,179.0,470.3
12.280,179.0,472.3
12.320,180.0,474.3
12.360,180.0,476.3
12.400,180.0,478.3
12.440,181.0,480.3
12.480,181.0,482.3
12.520,182.0,484.3
12.560,182.0,486.3
12.600,182.0,488.4
12.640,183.0,490.4
12.680,183.0,492.4
12.720,185.0,494.5
12.760,185.0,496.5
12.800,185.0,498.6
12.840,186.0,500.6
12.880,186.0,502.7
12.920,187.0,504.8
12.960,187.0,506.9
13.000,187.0,508.9
13.040,187.0,511.0
13.080,187.0,513.1
13.120,187.0,515.2
13.160,187.0,517.3
13.200,187.0,519.3
13.240,187.0,521.4
13.280,187.0,523.5
13.320,186.0,525.6
13.360,186.0,527.6
13.400,186.0,529.7
13.440,184.0,531.7
13.480,184.0,533.8
13.520,182.0,535.8
13.560,182.0,537.8
13.600,182.0,539.9
13.640,181.0,541.9
13.680,181.0,543.9
13.720,179.0,545.9
13.760,179.0,547.9
13.800,179.0,549.9
13.840,177.0,551.9
13.880,177.0,553.8
13.920,176.0,555.8
13.960,176.0,557.7
14.000,176.0,559.7
14.040,174.0,561.6
14.080,174.0,563.6
14.120,172.0,565.5
14.160,172.0,567.4
14.200,172.0,569.3
14.240,170.0,571.2
14.280,170.0,573.1
14.320,168.0,575.0
14.360,168.0,576.8
14.400,168.0,578.7
14.440,166.0,580.6
14.480,166.0,582.4
14.520,164.0,584.2
14.560,164.0,586.1
14.600,164.0,587.9
14.640,162.0,589.7
14.680,162.0,591.5
14.720,160.0,593.3
14.760,160.0,595.1
14.800,160.0,596.8
14.840,158.0,598.6
14.880,158.0,600.4
14.920,157.0,602.1
14.960,157.0,603.9
15.000,157.0,605.6
15.040,156.0,607.3
15.080,156.0,609.1
15.120,155.0,610.8
15.160,155.0,612.5
15.200,155.0,614.3
15.240,154.0,616.0
15.280,154.0,617.7
15.320,154.0,619.4
15.360,154.0,621.1
15.400,154.0,622.8
15.440,153.0,624.5
15.480,153.0,626.2
15.520,153.0,627.9
15.560,153.0,629.6
15.600,153.0,631.3
15.640,152.0,633.0
15.680,152.0,634.7
15.720,152.0,636.4
15.760,152.0,638.1
15.800,152.0,639.8
15.840,152.0,641.5
15.880,152.0,643.1
15.920,153.0,644.8
15.960,153.0,646.5
16.000,153.0,648.2
16.040,153.0,649.9
16.080,153.0,651.6
16.120,154.0,653.3
16.160,154.0,655.1
16.200,154.0,656.8
16.240,156.0,658.5
16.280,156.0,660.2
16.320,158.0,662.0
16.360,158.0,663.7
16.400,158.0,665.5
16.440,161.0,667.3
16.480,161.0,669.0
16.520,163.0,670.8
16.560,163.0,672.7
16.600,163.0,674.5
16.640,165.0,676.3
16.680,165.0,678.1
16.720,167.0,680.0
16.760,167.0,681.8
16.800,167.0,683.7
16.840,170.0,685.5
16.880,170.0,687.4
16.920,172.0,689.3
16.960,172.0,691.2
17.000,172.0,693.2
17.040,175.0,695.1
17.080,175.0,697.0
17.120,177.0,699.0
17.160,177.0,701.0
17.200,177.0,702.9
17.240,179.0,704.9
17.280,179.0,706.9
17.320,182.0,708.9
17.360,182.0,710.9
17.400,182.0,712.9
17.440,183.0,715.0
17.480,183.0,717.0
17.520,186.0,719.0
17.560,186.0,721.1
17.600,186.0,723.2
17.640,188.0,725.3
17.680,188.0,727.3
17.720,189.0,729.4
17.760,189.0,731.5
17.800,189.0,733.6
17.840,191.0,735.8
17.880,191.0,737.9
17.920,194.0,740.0
17.960,194.0,742.2
18.000,194.0,744.3
18.040,194.0,746.5
18.080,194.0,748.6
18.120,197.0,750.8
18.160,197.0,753.0
18.200,197.0,755.2
18.240,198.0,757.4
18.280,198.0,759.6
18.320,201.0,761.8
18.360,201.0,764.0
18.400,201.0,766.3
18.440,203.0,768.5
18.480,203.0,770.8
18.520,203.0,773.0
18.560,203.0,775.3
18.600,203.0,777.5
18.640,204.0,779.8
18.680,204.0,782.1
18.720,205.0,784.3
18.760,205.0,786.6
18.800,205.0,788.9
18.840,204.0,791.2
18.880,204.0,793.4
18.920,204.0,795.7
18.960,204.0,798.0
19.000,204.0,800.2
19.040,205.0,802.5
19.080,205.0,804.8
19.120,205.0,807.1
19.160,205.0,809.3
19.200,205.0,811.6
19.240,205.0,813.9
19.280,205.0,816.2
19.320,206.0,818.4
19.360,206.0,820.7
19.400,206.0,823.0
19.440,205.0,825.3
19.480,205.0,827.6
19.520,204.0,829.9
19.560,204.0,832.1
19.600,204.0,834.4
19.640,204.0,836.7
19.680,204.0,838.9
19.720,204.0,841.2
19.760,204.0,843.5
19.800,204.0,845.7
19.840,205.0,848.0
19.880,205.0,850.3
19.920,205.0,852.6
19.960,205.0,854.8
20.000,205.0,857.1
20.040,204.0,859.4
20.080,204.0,861.6
20.120,205.0,863.9
20.160,205.0,866.2
20.200,205.0,868.5
20.240,205.0,870.8
20.280,205.0,873.0
20.320,205.0,875.3
20.360,205.0,877.6
20.400,205.0,879.9
20.440,205.0,882.1
20.480,205.0,884.4
20.520,206.0,886.7
20.560,206.0,889.0
20.600,206.0,891.3
20.640,204.0,893.6
20.680,204.0,895.8
20.720,202.0,898.1
20.760,202.0,900.3
20.800,202.0,902.6
20.840,199.0,904.8
20.880,199.0,907.0
20.920,197.0,909.2
20.960,197.0,911.4
21.000,197.0,913.6
21.040,194.0,915.8
21.080,194.0,917.9
21.120,192.0,920.1
21.160,192.0,922.2
21.200,192.0,924.3
21.240,189.0,926.4
21.280,189.0,928.5
21.320,185.0,930.6
21.360,185.0,932.7
21.400,185.0,934.7
21.440,182.0,936.8
21.480,182.0,938.8
21.520,178.0,940.8
21.560,178.0,942.8
21.600,178.0,944.7
21.640,174.0,946.7
21.680,174.0,948.6
21.720,170.0,950.5
21.760,170.0,952.4
21.800,170.0,954.3
21.840,166.0,956.2
21.880,166.0,958.0
21.920,162.0,959.9
21.960,162.0,961.7
22.000,162.0,963.5
22.040,158.0,965.2
22.080,158.0,967.0
22.120,156.0,968.7
22.160,156.0,970.5
22.200,156.0,972.2
22.240,153.0,973.9
22.280,153.0,975.6
22.320,151.0,977.3
22.360,151.0,979.0
22.400,151.0,980.7
22.440,148.0,982.3
22.480,148.0,984.0
22.520,147.0,985.6
22.560,147.0,987.2
22.600,147.0,988.9
22.640,145.0,990.5
22.680,145.0,992.1
22.720,143.0,993.7
22.760,143.0,995.3
22.800,143.0,996.9
22.840,142.0,998.5
22.880,142.0,1000.0
22.920,141.0,1001.6
22.960,141.0,1003.2
23.000,141.0,1004.8
23.040,139.0,1006.3
23.080,139.0,1007.9
23.120,139.0,1009.4
23.160,139.0,1010.9
23.200,139.0,1012.5
23.240,137.0,1014.0
23.280,137.0,1015.5
23.320,135.0,1017.1
23.360,135.0,1018.6
23.400,135.0,1020.1
23.440,133.0,1021.5
23.480,133.0,1023.0
23.520,130.0,1024.5
23.560,130.0,1025.9
23.600,130.0,1027.4
23.640,130.0,1028.8
23.680,130.0,1030.3
23.720,128.0,1031.7
23.760,128.0,1033.1
23.800,128.0,1034.5
23.840,125.0,1035.9
23.880,125.0,1037.3
23.920,123.0,1038.7
23.960,123.0,1040.1
24.000,123.0,1041.4
24.040,120.0,1042.8
24.080,120.0,1044.1
24.120,118.0,1045.4
24.160,118.0,1046.8
24.200,118.0,1048.1
24.240,116.0,1049.4
24.280,116.0,1050.7
24.320,115.0,1051.9
24.360,115.0,1053.2
24.400,115.0,1054.5
24.440,114.0,1055.8
24.480,114.0,1057.0
24.520,113.0,1058.3
24.560,113.0,1059.6
24.600,113.0,1060.8
24.640,112.0,1062.1
24.680,112.0,1063.3
24.720,110.0,1064.5
24.760,110.0,1065.8
24.800,110.0,1067.0
24.840,110.0,1068.2
24.880,110.0,1069.4
24.920,109.0,1070.6
24.960,109.0,1071.9
25.000,109.0,1073.1
25.040,109.0,1074.3
25.080,109.0,1075.5
25.120,108.0,1076.7
25.160,108.0,1077.9
25.200,108.0,1079.1
25.240,107.0,1080.3
25.280,107.0,1081.5
25.320,106.0,1082.7
25.360,106.0,1083.8
25.400,106.0,1085.0
25.440,105.0,1086.2
25.480,105.0,1087.4
25.520,105.0,1088.5
25.560,105.0,1089.7
25.600,105.0,1090.9
25.640,104.0,1092.0
25.680,104.0,1093.2
25.720,105.0,1094.3
25.760,105.0,1095.5
25.800,105.0,1096.7
25.840,106.0,1097.8
25.880,106.0,1099.0
25.920,107.0,1100.2
25.960,107.0,1101.4
26.000,107.0,1102.6
26.040,108.0,1103.8
26.080,108.0,1105.0
26.120,110.0,1106.2
26.160,110.0,1107.4
26.200,110.0,1108.6
26.240,111.0,1109.9
26.280,111.0,1111.1
26.320,113.0,1112.3
26.360,113.0,1113.6
26.400,113.0,1114.8
26.440,114.0,1116.1
26.480,114.0,1117.4
26.520,116.0,1118.6
26.560,116.0,1119.9
26.600,116.0,1121.2
26.640,118.0,1122.5
26.680,118.0,1123.8
26.720,119.0,1125.2
26.760,119.0,1126.5
26.800,119.0,1127.8
26.840,121.0,1129.1
26.880,121.0,1130.5
26.920,123.0,1131.8
26.960,123.0,1133.2
27.000,123.0,1134.6
27.040,125.0,1135.9
27.080,125.0,1137.3
27.120,127.0,1138.7
27.160,127.0,1140.1
27.200,127.0,1141.6
27.240,128.0,1143.0
27.280,128.0,1144.4
27.320,131.0,1145.8
27.360,131.0,1147.3
27.400,131.0,1148.7
27.440,133.0,1150.2
27.480,133.0,1151.7
27.520,135.0,1153.2
27.560,135.0,1154.7
27.600,135.0,1156.2
27.640,137.0,1157.7
27.680,137.0,1159.2
27.720,140.0,1160.7
27.760,140.0,1162.3
27.800,140.0,1163.9
27.840,143.0,1165.4
27.880,143.0,1167.0
27.920,146.0,1168.6
27.960,146.0,1170.2
28.000,146.0,1171.9
28.040,149.0,1173.5
28.080,149.0,1175.2
28.120,152.0,1176.8
28.160,152.0,1178.5
28.200,152.0,1180.2
28.240,154.0,1181.9
28.280,154.0,1183.6
28.320,156.0,1185.3
28.360,156.0,1187.1
28.400,156.0,1188.8
28.440,156.0,1190.5
28.480,156.0,1192.3
28.520,155.0,1194.0
28.560,155.0,1195.7
28.600,155.0,1197.5
28.640,155.0,1199.2
28.680,155.0,1200.9
28.720,153.0,1202.6
28.760,153.0,1204.3
28.800,153.0,1206.0
28.840,151.0,1207.7
28.880,151.0,1209.4
28.920,149.0,1211.0
28.960,149.0,1212.7
29.000,149.0,1214.4
29.040,147.0,1216.0
29.080,147.0,1217.6
29.120,146.0,1219.3
29.160,146.0,1220.9
29.200,146.0,1222.5
29.240,144.0,1224.1
29.280,144.0,1225.7
29.320,142.0,1227.3
29.360,142.0,1228.9
29.400,142.0,1230.5
29.440,141.0,1232.0
29.480,141.0,1233.6
29.520,140.0,1235.2
29.560,140.0,1236.7
29.600,140.0,1238.3
29.640,139.0,1239.8
29.680,139.0,1241.4
29.720,139.0,1242.9
29.760,139.0,1244.5
29.800,139.0,1246.0
29.840,137.0,1247.5
29.880,137.0,1249.1
29.920,135.0,1250.6
29.960,135.0,1252.1
30.000,135.0,1253.6
30.040,134.0,1255.1
30.080,134.0,1256.5
30.120,131.0,1258.0
30.160,131.0,1259.5
30.200,131.0,1260.9
30.240,129.0,1262.4
30.280,129.0,1263.8
30.320,127.0,1265.2
30.360,127.0,1266.6
30.400,127.0,1268.1
30.440,125.0,1269.5
30.480,125.0,1270.8
30.520,123.0,1272.2
30.560,123.0,1273.6
30.600,123.0,1275.0
30.640,120.0,1276.3
30.680,120.0,1277.6
30.720,118.0,1279.0
30.760,118.0,1280.3
30.800,118.0,1281.6
30.840,117.0,1282.9
30.880,117.0,1284.2
30.920,116.0,1285.5
30.960,116.0,1286.8
31.000,116.0,1288.1
31.040,117.0,1289.4
31.080,117.0,1290.7
31.120,116.0,1291.9
31.160,116.0,1293.2
31.200,116.0,1294.5
31.240,115.0,1295.8
31.280,115.0,1297.1
31.320,115.0,1298.4
31.360,115.0,1299.6
31.400,115.0,1300.9
31.440,115.0,1302.2
31.480,115.0,1303.5
31.520,113.0,1304.7
31.560,113.0,1306.0
31.600,113.0,1307.3
31.640,113.0,1308.5
31.680,113.0,1309.8
31.720,113.0,1311.0
31.760,113.0,1312.3
31.800,113.0,1313.5
31.840,112.0,1314.8
31.880,112.0,1316.0
31.920,111.0,1317.3
31.960,111.0,1318.5
32.000,111.0,1319.7
32.040,111.0,1321.0
32.080,111.0,1322.2
32.120,111.0,1323.4
32.160,111.0,1324.7
32.200,111.0,1325.9
32.240,113.0,1327.1
32.280,113.0,1328.4
32.320,113.0,1329.7
32.360,113.0,1330.9
32.400,113.0,1332.2
32.440,114.0,1333.4
32.480,114.0,1334.7
32.520,115.0,1336.0
32.560,115.0,1337.2
32.600,115.0,1338.5
32.640,113.0,1339.8
32.680,113.0,1341.0
32.720,112.0,1342.3
32.760,112.0,1343.5
32.800,112.0,1344.8
32.840,112.0,1346.0
32.880,112.0,1347.3
32.920,110.0,1348.5
32.960,110.0,1349.7
33.000,110.0,1350.9
33.040,109.0,1352.2
33.080,109.0,1353.4
33.120,108.0,1354.6
33.160,108.0,1355.8
33.200,108.0,1357.0
33.240,107.0,1358.2
33.280,107.0,1359.4
33.320,106.0,1360.5
33.360,106.0,1361.7
33.400,106.0,1362.9
33.440,107.0,1364.1
33.480,107.0,1365.3
33.520,108.0,1366.5
33.560,108.0,1367.7
33.600,108.0,1368.9
33.640,108.0,1370.1
33.680,108.0,1371.3
33.720,108.0,1372.5
33.760,108.0,1373.7
33.800,108.0,1374.9
33.840,109.0,1376.1
33.880,109.0,1377.3
33.920,110.0,1378.5
33.960,110.0,1379.7
34.000,110.0,1381.0
34.040,111.0,1382.2
34.080,111.0,1383.4
34.120,113.0,1384.7
34.160,113.0,1385.9
34.200,113.0,1387.2
34.240,115.0,1388.4
34.280,115.0,1389.7
34.320,117.0,1391.0
34.360,117.0,1392.3
34.400,117.0,1393.6
34.440,119.0,1394.9
34.480,119.0,1396.2
34.520,121.0,1397.6
34.560,121.0,1398.9
34.600,121.0,1400.3
34.640,123.0,1401.6
34.680,123.0,1403.0
34.720,124.0,1404.3
34.760,124.0,1405.7
34.800,124.0,1407.1
34.840,126.0,1408.5
34.880,126.0,1409.9
34.920,128.0,1411.3
34.960,128.0,1412.7
35.000,128.0,1414.1
35.040,130.0,1415.6
35.080,130.0,1417.0
35.120,132.0,1418.5
35.160,132.0,1419.9
35.200,132.0,1421.4
35.240,134.0,1422.9
35.280,134.0,1424.4
35.320,136.0,1425.9
35.360,136.0,1427.4
35.400,136.0,1428.9
35.440,138.0,1430.4
35.480,138.0,1432.0
35.520,141.0,1433.5
35.560,141.0,1435.1
35.600,141.0,1436.6
35.640,144.0,1438.2
35.680,144.0,1439.8
35.720,147.0,1441.4
35.760,147.0,1443.1
35.800,147.0,1444.7
35.840,150.0,1446.4
35.880,150.0,1448.0
35.920,153.0,1449.7
35.960,153.0,1451.4
36.000,153.0,1453.1
36.040,155.0,1454.8
36.080,155.0,1456.5
36.120,157.0,1458.3
36.160,157.0,1460.0
36.200,157.0,1461.8
36.240,156.0,1463.5
36.280,156.0,1465.2
36.320,153.0,1467.0
36.360,153.0,1468.7
36.400,153.0,1470.4
36.440,149.0,1472.0
36.480,149.0,1473.7
36.520,146.0,1475.3
36.560,146.0,1477.0
36.600,146.0,1478.6
36.640,143.0,1480.2
36.680,143.0,1481.8
36.720,138.0,1483.3
36.760,138.0,1484.9
36.800,138.0,1486.4
36.840,135.0,1487.9
36.880,135.0,1489.4
36.920,132.0,1490.9
36.960,132.0,1492.4
37.000,132.0,1493.8
37.040,128.0,1495.3
37.080,128.0,1496.7
37.120,124.0,1498.1
37.160,124.0,1499.5
37.200,124.0,1500.9
37.240,122.0,1502.2
37.280,122.0,1503.6
37.320,118.0,1504.9
37.360,118.0,1506.2
37.400,118.0,1507.5
37.440,114.0,1508.8
37.480,114.0,1510.1
37.520,112.0,1511.3
37.560,112.0,1512.6
37.600,112.0,1513.8
37.640,108.0,1515.1
37.680,108.0,1516.3
37.720,107.0,1517.4
37.760,107.0,1518.6
37.800,107.0,1519.8
37.840,106.0,1521.0
37.880,106.0,1522.2
37.920,105.0,1523.4
37.960,105.0,1524.5
38.000,105.0,1525.7
38.040,105.0,1526.9
38.080,105.0,1528.0
38.120,103.0,1529.2
38.160,103.0,1530.3
38.200,103.0,1531.5
38.240,103.0,1532.6
38.280,103.0,1533.8
38.320,103.0,1534.9
38.360,103.0,1536.0
38.400,103.0,1537.2
38.440,101.0,1538.3
38.480,101.0,1539.4
38.520,101.0,1540.6
38.560,101.0,1541.7
38.600,100.0,1542.8
38.640,100.0,1543.9
38.680,100.0,1545.0
38.720,99.0,1546.1
38.760,99.0,1547.2
38.800,99.0,1548.3
38.840,99.0,1549.4
38.880,99.0,1550.5
38.920,100.0,1551.6
38.960,100.0,1552.8
39.000,100.0,1553.9
39.040,100.0,1555.0
39.080,100.0,1556.1
39.120,100.0,1557.2
39.160,100.0,1558.3
39.200,99.0,1559.4
39.240,99.0,1560.5
39.280,99.0,1561.6
39.320,99.0,1562.7
39.360,99.0,1563.8
39.400,99.0,1564.9
39.440,99.0,1566.0
39.480,99.0,1567.1
39.520,99.0,1568.2
39.560,99.0,1569.3
39.600,100.0,1570.4
39.640,100.0,1571.5
39.680,100.0,1572.6
39.720,100.0,1573.8
39.760,100.0,1574.9
39.800,101.0,1576.0
39.840,101.0,1577.1
39.880,101.0,1578.2
39.920,102.0,1579.4
39.960,102.0,1580.5
40.000,103.0,1581.6
40.040,103.0,1582.8
40.080,103.0,1583.9
40.120,104.0,1585.1
40.160,104.0,1586.2
40.200,106.0,1587.4
40.240,106.0,1588.6
40.280,106.0,1589.7
40.320,107.0,1590.9
40.360,107.0,1592.1
40.400,109.0,1593.3
40.440,109.0,1594.5
40.480,109.0,1595.7
40.520,110.0,1597.0
40.560,110.0,1598.2
40.600,111.0,1599.4
40.640,111.0,1600.6
40.680,111.0,1601.9
40.720,113.0,1603.1
40.760,113.0,1604.4
40.800,115.0,1605.6
40.840,115.0,1606.9
40.880,115.0,1608.2
40.920,117.0,1609.5
40.960,117.0,1610.8
41.000,119.0,1612.1
41.040,119.0,1613.4
41.080,119.0,1614.7
41.120,121.0,1616.1
41.160,121.0,1617.4
41.200,122.0,1618.8
41.240,122.0,1620.1
41.280,122.0,1621.5
41.320,123.0,1622.8
41.360,123.0,1624.2
41.400,125.0,1625.6
41.440,125.0,1627.0
41.480,125.0,1628.4
41.520,126.0,1629.8
41.560,126.0,1631.2
41.600,128.0,1632.6
41.640,128.0,1634.0
41.680,128.0,1635.4
41.720,129.0,1636.8
41.760,129.0,1638.3
41.800,131.0,1639.7
41.840,131.0,1641.2
41.880,131.0,1642.6
41.920,132.0,1644.1
41.960,132.0,1645.5
42.000,134.0,1647.0
42.040,134.0,1648.5
42.080,134.0,1650.0
42.120,136.0,1651.5
42.160,136.0,1653.0
42.200,139.0,1654.5
42.240,139.0,1656.1
42.280,139.0,1657.6
42.320,141.0,1659.2
42.360,141.0,1660.8
42.400,144.0,1662.3
42.440,144.0,1663.9
42.480,144.0,1665.5
42.520,147.0,1667.2
42.560,147.0,1668.8
42.600,149.0,1670.4
42.640,149.0,1672.1
42.680,149.0,1673.7
